title,address,description,price,contact,images
5 bedroom detached house for sale,"Lambridge Wood Road, Henley-on-Thames, Oxfordshire, RG9","Tenure: Freehold,5 bedrooms,4 reception rooms,4 bathrooms","4,400,000", 01491 738871,"https://media.onthemarket.com/properties/15314094/1500324365/image-0-480x320.jpg,https://media.onthemarket.com/properties/15314094/1500324365/image-0-480x320.jpg,https://media.onthemarket.com/properties/15314094/1500324365/image-1-480x320.jpg,https://media.onthemarket.com/properties/15314094/1500324365/image-2-480x320.jpg,https://media.onthemarket.com/properties/15314094/1500324365/image-3-480x320.jpg,https://media.onthemarket.com/properties/15314094/1500324365/image-4-480x320.jpg"
4 bedroom bungalow for sale,"Lakelands Close, Witheridge, Tiverton, Devon, EX16","Tenure: Freehold,Detached bungalow,Four bedrooms,Corner plot","339,950", 01769 307973,"https://media.onthemarket.com/properties/15313911/1500322873/image-0-480x320.jpg,https://media.onthemarket.com/properties/15313911/1500322873/image-0-480x320.jpg,https://media.onthemarket.com/properties/15313911/1500322873/image-1-480x320.jpg,https://media.onthemarket.com/properties/15313911/1500322873/image-2-480x320.jpg,https://media.onthemarket.com/properties/15313911/1500322873/image-3-480x320.jpg,https://media.onthemarket.com/properties/15313911/1500322873/image-4-480x320.jpg"
4 bedroom detached house for sale,"St Bridgets Close,  Bridstow,  Ross-on-Wye,  HR9","Tenure: Freehold,Exclusive development of 8 properties,Located 2 miles from Ross-on-Wye,Scenic setting with south-facing garden","700,000", 01432 644954,"https://media.onthemarket.com/properties/15313892/1500322644/image-0-480x320.jpg,https://media.onthemarket.com/properties/15313892/1500322644/image-0-480x320.jpg,https://media.onthemarket.com/properties/15313892/1500322644/image-1-480x320.jpg,https://media.onthemarket.com/properties/15313892/1500322644/image-2-480x320.jpg,https://media.onthemarket.com/properties/15313892/1500322644/image-3-480x320.jpg,https://media.onthemarket.com/properties/15313892/1500322644/image-4-480x320.jpg"
3 bedroom semi-detached house for sale,"Farndon Avenue, Marston Green, Birmingham, B37","Tenure: Freehold,BEAUTIFUL SEMI DETACHED FAMILY HOME,THREE BEDROOMS,KITCHEN DINER OVERLOOKING THE REAR","300,000", 0121 659 7841,"https://media.onthemarket.com/properties/15312855/1500306606/image-0-480x320.jpg,https://media.onthemarket.com/properties/15312855/1500306606/image-0-480x320.jpg,https://media.onthemarket.com/properties/15312855/1500306606/image-1-480x320.jpg,https://media.onthemarket.com/properties/15312855/1500306606/image-2-480x320.jpg,https://media.onthemarket.com/properties/15312855/1500306606/image-3-480x320.jpg,https://media.onthemarket.com/properties/15312855/1500306606/image-4-480x320.jpg"
4 bedroom barn conversion for sale,"The Barn, Grange Farm, Stapleton, Darlington","Tenure: Freehold,An Exciting Opportunity to Purchase a Detached Barn with Permitted Development,To Create a Substantial Barn Conversion,Class Q Planning Permission for a 4 Bedroom Dwelling","225,000", 01969 738984,"https://media.onthemarket.com/properties/15312258/1500323042/image-0-480x320.jpg,https://media.onthemarket.com/properties/15312258/1500323042/image-0-480x320.jpg,https://media.onthemarket.com/properties/15312258/1500323042/image-1-480x320.jpg,https://media.onthemarket.com/properties/15312258/1500323042/image-2-480x320.jpg,https://media.onthemarket.com/properties/15312258/1500283727/image-3-480x320.jpg,https://media.onthemarket.com/properties/15312258/1500283727/image-4-480x320.jpg"
Plot for sale,"Sea Cliff, Strawberry Lane, Penally, Tenby","Tenure: Freehold,1,162 sq ft floor area,Nearest station 0.3mi.,Nearest school 1.2mi.","250,000", 01437 723104,"https://media.onthemarket.com/properties/15310812/1500271618/image-0-480x320.jpg,https://media.onthemarket.com/properties/15310812/1500271618/image-0-480x320.jpg,https://media.onthemarket.com/properties/15310812/1500271618/image-1-480x320.jpg,https://media.onthemarket.com/properties/15310812/1500271618/image-2-480x320.jpg,https://media.onthemarket.com/properties/15310812/1500271618/image-3-480x320.jpg,https://media.onthemarket.com/properties/15310812/1500271618/image-4-480x320.jpg"
2 bedroom apartment for sale,"Norton Way, Poole BH15","Tenure: Leasehold (106 years remaining),Shared Ownership: based on 50% share*,Open-plan kitchen / living area,Fitted kitchen with oven and hob","107,500", 023 9424 6042,"https://media.onthemarket.com/properties/15309751/1500263446/image-0-480x320.jpg,https://media.onthemarket.com/properties/15309751/1500263446/image-0-480x320.jpg,https://media.onthemarket.com/properties/15309751/1500263446/image-1-480x320.jpg,https://media.onthemarket.com/properties/15309751/1500263446/image-2-480x320.jpg,https://media.onthemarket.com/properties/15309751/1500263446/image-3-480x320.jpg,https://media.onthemarket.com/properties/15309751/1500263446/image-4-480x320.jpg"
3 bedroom terraced house for sale,"St Marys Road, Bodmin, Cornwall, PL31","Tenure: Freehold,Three bedroom terrace,Two reception rooms,Generous rear garden","150,000", 01208 216965,"https://media.onthemarket.com/properties/15319163/1500390320/image-0-480x320.jpg,https://media.onthemarket.com/properties/15319163/1500390320/image-0-480x320.jpg,https://media.onthemarket.com/properties/15319163/1500390320/image-1-480x320.jpg,https://media.onthemarket.com/properties/15319163/1500390320/image-2-480x320.jpg,https://media.onthemarket.com/properties/15319163/1500390320/image-3-480x320.jpg,https://media.onthemarket.com/properties/15319163/1500390320/image-4-480x320.jpg"
4 bedroom bungalow for sale,"Hargill Close, Harmby, Leyburn, DL8","Tenure: Freehold,Well-Presented Detached Dormer Bungalow,Capacious Corner Plot On Quiet Cul-De-Sac,4 Bedrooms","425,000", 01969 738985,"https://media.onthemarket.com/properties/15319098/1500389340/image-0-480x320.jpg,https://media.onthemarket.com/properties/15319098/1500389340/image-0-480x320.jpg,https://media.onthemarket.com/properties/15319098/1500389340/image-1-480x320.jpg,https://media.onthemarket.com/properties/15319098/1500389340/image-2-480x320.jpg,https://media.onthemarket.com/properties/15319098/1500389340/image-3-480x320.jpg,https://media.onthemarket.com/properties/15319098/1500389340/image-4-480x320.jpg"
3 bedroom bungalow for sale,"Westbury Gardens, Higher Odcombe, Yeovil, Somerset, BA22","Tenure: Freehold,Delightful three bedroom bungalow,Spacious accommodation,Garage plus driveway parking for several vehicles","395,000", 01935 590896,"https://media.onthemarket.com/properties/15318624/1500372840/image-0-480x320.jpg,https://media.onthemarket.com/properties/15318624/1500372840/image-0-480x320.jpg,https://media.onthemarket.com/properties/15318624/1500372840/image-1-480x320.jpg,https://media.onthemarket.com/properties/15318624/1500372840/image-2-480x320.jpg,https://media.onthemarket.com/properties/15318624/1500372840/image-3-480x320.jpg,https://media.onthemarket.com/properties/15318624/1500372840/image-4-480x320.jpg"
4 bedroom detached house for sale,"Back Drove, Leigh, Sherborne, Dorset, DT9","Tenure: Freehold,4 Bedrooms,No Onward Chain,Glorious Views","1,295,000", 01935 590903,"https://media.onthemarket.com/properties/15318622/1500372676/image-0-480x320.jpg,https://media.onthemarket.com/properties/15318622/1500372676/image-0-480x320.jpg,https://media.onthemarket.com/properties/15318622/1500372676/image-1-480x320.jpg,https://media.onthemarket.com/properties/15318622/1500372676/image-2-480x320.jpg,https://media.onthemarket.com/properties/15318622/1500372676/image-3-480x320.jpg,https://media.onthemarket.com/properties/15318622/1500372676/image-4-480x320.jpg"
Woodland for sale,"Brackenthwaite Lane, Burn Bridge HG3","Tenure: Freehold,14.53 acre(s) of land,Nearest station 0.8mi.,Nearest school 0.8mi.","80,000", 01943 613247,[None]
1 bedroom mobile home for sale,Chertsey,"Refurbished,1 Bedroom","104,950", 01932 964535,"https://media.onthemarket.com/properties/14726689/1500464955/image-0-480x320.jpg,https://media.onthemarket.com/properties/14726689/1500464955/image-0-480x320.jpg,https://media.onthemarket.com/properties/14726689/1500464955/image-1-480x320.jpg,https://media.onthemarket.com/properties/14726689/1500464955/image-2-480x320.jpg,https://media.onthemarket.com/properties/14726689/1500464955/image-3-480x320.jpg,https://media.onthemarket.com/properties/14726689/1500464955/image-4-480x320.jpg"
4 bedroom detached house for sale,"Carter Close, Ansford BA7","Tenure: Leasehold (123 years remaining),Shared Ownership; price based on a 35% share*,Fitted kitchen with oven, hob and hood,Utility room and study","147,000", 023 9424 6042,"https://media.onthemarket.com/properties/14341779/1500254293/image-0-480x320.jpg,https://media.onthemarket.com/properties/14341779/1500254293/image-0-480x320.jpg,https://media.onthemarket.com/properties/14341779/1500254293/image-1-480x320.jpg,https://media.onthemarket.com/properties/14341779/1500254293/image-2-480x320.jpg,https://media.onthemarket.com/properties/14341779/1500254293/image-3-480x320.jpg,https://media.onthemarket.com/properties/14341779/1500254293/image-4-480x320.jpg"
